"Occupation, 1950 basis",Single words,Bigram words,Male words,Female words
Stationary engineers,engineer,stationary_engineer,,
Mechanical-Engineers,"engineer, mechanist, mechinist, mechanician",mechanical_engineer,,
Locomotive engineers,"engineer, locomotist, autoist",locomotive_engineer,,
"Conductors, railroad",conductor,railroad_conductor,,
Actors and actresses,entertainer,entertainer,actor,actress
Telegraph messengers,"operator, messenger",telegraph_messenger,,
Editors and reporters,"editor, reporter","editor, reporter",,
Biological scientists,"scientist, biologist","biological_scientist, scientist, biologist",,
Sheriffs and bailiffs,"police, sheriff, bailiff","police, sheriff, bailiff",,
Carpenters apprentice,"apprentice, carpenter","apprentice, carpenter",,
Waiters and waitresses,server,server,waiter,waitress
Charwomen and cleaners,"janitor, cleaner","janitor, cleaner",charman,charwoman
Hucksters and peddlers,"huckster, peddler","huckster, peddler",,
Aeronautical-Engineers,,aeronautical_engineers,,
Sailors and deck hands,sailor,sailor,,
Misc social scientists,sociologist,social_scientist,,
Forgemen and hammermen,"forgeron, metalsmith, hammerer, ironsmith","forgeron, metalsmith, hammerer, ironsmith",,
Blasters and powdermen,"miner, balster","miner, balster",,
Physicians and surgeons,"physician, surgeon","physician, surgeon",,
Stock and bond salesmen,"sales, salesperson, investor",bond_sales,salesman,saleswoman
Tailors and tailoresses,tailor,tailor,tailor,"tailoress, seamstress"
Fishermen and oystermen,"fisher, hunter","fisher, hunter",,
Power station operators,"operator, electrician","operator, electrician",,
Electricians apprentice,"electrician, apprentice","electrician, apprentice",,
Agricultural scientists,"scientist, agriculturalist, agronomist",agricultural_engineer,,
Marshals and constables,"marshal, constable","marshal, constable",,
Accountants and auditors,"accountant, auditor","accountant, auditor",,
Deliverymen and routemen,"mailperson, courier, deliverer, carrier","mailperson, courier, deliverer, carrier",,
Office machine operators,"operator, machinist",machine_operator,,
Policemen and detectives,"police, detective","police, detective",policeman,policewoman
"Firemen, fire protection",firefighter,firefighter,fireman,firewoman
Structural metal workers,"metalsmith, blacksmith",metal_worker,,
Misc. natural scientists,scientist,natural_scientist,,
Artists and art teachers,"artist, teacher","artist, art_teacher",,
Truck and tractor drivers,"driver, teamster, trucker","truck_driver, tractor_driver",,
Welders and flame cutters,"jointer, welder","jointer, welder",,
Plumbers and pipe fitters,plumber,"plumber, pipe_fitter",,
Auto mechanics apprentice,"mechanician, apprentice","mechanician, apprentice",,
Gentleman/lady/at leisure,,,,
Occupation missing/unknown,,,,
Messengers and office boys,"mailperson, messenger, mailer","mailperson, messenger, mailer",mailman,mailwoman
"Baggagemen, transportation","porter, handler","porter, handler",,
"Farm laborers, wage workers","laborer, farmer","laborer, farmer",,
Compositors and typesetters,"compositor, typesetter","compositor, typesetter",,
Longshoremen and stevedores,"laborer, docker, loader, stevedore","laborer, docker, loader, stevedore",,
Statisticians and actuaries,"statistician, accountant, actuary","statistician, accountant, actuary",,
Farmers (owners and tenants),"farmer, owner, tenant","farmer, owner, tenant",,
Musicians and music teachers,"musician, teacher","musician, music_teacher",,
Insurance agents and brokers,"broker, agent","insurance_broker, insurance_agent",,
"Buyers and dept heads, store","head, buyer, manager","head, buyer, manager",,
Mine operatives and laborers,"laborer, operator, miner","laborer, operator, miner, mine_operative",,
Therapists and healers (nec),"therapist, healer, professional","therapist, healer, professional",,
Counter and fountain workers,,,,
Recreation and group workers,,,,
"Collectors, bill and account","collector, biller, accountant","bill_collector, collector, biller, accountant",,
Dietitians and nutritionists,"dietitian, nutritionist","dietitian, nutritionist",,
Photographic process workers,"processor, photographer, operator, technician","processor, photographer, operator, technician",,
Geologists and geophysicists,"geologist, geophysicist","geologist, geophysicist",,
"Nurses, student professional","nurse, student, professional","nurse, student, professional",,
College presidents and deans,"dean, president, professor","college_dean, president, dean",,
Dancers and dancing teachers,"dancer, teacher","dance_teacher, dancer",,
"Apprentices, printing trades","trader, apprentice","trader, apprentice",,
Members of the armed services,soldier,soldier,,
Mechanics and repairmen (nec),"mechanic, repairer","mechanic, repairer",,
Shipping and receiving clerks,"clerk, handler, register","clerk, handler, register",,
Cement and concrete finishers,"laborer, finisher, mason","laborer, finisher, mason",,
"Rollers and roll hands, metal","roller, blacksmith","roller, blacksmith",,
Motion picture projectionists,projectionist,projectionist,,
Unemployed/without occupation,,,,
Medical and dental-technicians,"technician, dentist, professional","medical_technician, dental_technician",,
Real estate agents and brokers,"broker, sales, agent","broker, sales, agent",,
Taxicab drivers and chauffeurs,"driver, chauffeur, cabbie, cabby",taxi_driver,,
Airplane pilots and navigators,"pilot, navigator","pilot, navigator",,
Decorators and window dressers,"decorator, dresser","decorator, window_dresser",,
Foresters and conservationists,"conservationist, forester","conservationist, forester",,
Electrotypers and stereotypers,"stereotyper, eletrotyper","stereotyper, eletrotyper",,
Salesmen and sales clerks (nec),"sales, clerk, salesperson","sales, clerk, salesperson",,
Private household workers (nec),housekeeper,housekeeper,,
"Cooks, except private household","cook, chef","cook, chef",,
"Laundressses, private household","housekeeper, washer","housekeeper, washer",,
"Housekeepers, private household",housekeeper,housekeeper,,
Advertising agents and salesmen,"salesperson, sales, advertiser",advertising_agent,,
"Oilers and greaser, except auto","oiler, greaser","oiler, greaser",,
Asbestos and insulation workers,,,,
Funeral directors and embalmers,embalmer,"embalmer, funeral_director",,
Stone cutters and stone carvers,"carver, cutter, mason","stone_carver, stone_cutter",,
Airplane-mechanics and repairmen,"mechanician, repairer","mechanician, repairer",,
Sports instructors and officials,"athlete, official, instructor","athlete, official, instructor",,
Photoengravers and lithographers,"photoengraver, lithographer","photoengraver, lithographer",,
"Ushers, recreation and amusement","usher, guide, commissionaire, attendant","usher, guide, commissionaire, attendant",,
"Millers, grain, flour, feed, etc.",miller,miller,,
"Engravers, except photoengravers","engraver, etcher","engraver, etcher",,
"Apprentices, trade not specified","apprentice, tradeperson, trader","apprentice, tradeperson, trader",,
"Guards, watchmen, and doorkeepers","guard, doorkeeper","guard, doorkeeper",,
Imputed keeping house (1850-1900),housekeeper,housekeeper,,
"Cranemen, derrickmen, and hoistmen","craneperson, derrickperson, hoister","craneperson, derrickperson, hoister",,
"Inspectors, public administration","administrator, inspector","administrator, inspector",,
"Dispatchers and starters, vehicle","dispatcher, starter","dispatcher, starter",,
Farm and home management advisors,,,,
"Mechanics, except auto apprentice","mechanics, mechanician","mechanics, mechanician",,
Bricklayers and masons apprentice,"bricklayer, mason, apprentice","bricklayer, mason, apprentice",,
Automobile-mechanics and repairmen,"mechanician, repairer",automobile_mechanics,,
Purchasing agents and buyers (nec),"buyer, agent","buyer, purchasing_agent",,
"Attendants and assistants, library","attendant, assistant","library_assistant, library_attendant, attendant, assistant",,
"Furnacemen, smeltermen and pourers","furnaceperson, smelterperson, pourer","furnaceperson, smelterperson, pourer",,
Boarding and lodging house keepers,"housekeeper, porter","housekeeper, porter",,
"Conductors, bus and street railway","driver, conductor","driver, conductor",,
"Buyers and shippers, farm products","buyer, shipper","buyer, shipper",,
Physics-Professors and instructors,"physicist, professor",physics_professor,,
"Apprentices, building trades (nec)","trader, tradeperson, apprentice, builder","trader, tradeperson, apprentice, builder",,
"Floormen and floor managers, store","floorer, floorperson, manager, guard","floorer, floorperson, manager, guard",,
Operative and kindred workers (nec),"mechanician, operator, clerk","mechanician, operator, clerk",,
Craftsmen and kindred workers (nec),"artificer, artisan, crafter","artificer, artisan, crafter",,
Laundry and dry cleaning operatives,"washer, operator, cleaner, operative","washer, operator, cleaner, operative",launderer,laundress
"Ticket, station, and express agents","doorkeeper, seller, agent, ticketer",ticket_agent,,
"Heat treaters, annealers, temperers","annealer, temperer, heattreater","annealer, temperer, heattreater",,
"Boatmen, canalmen, and lock keepers","boatperson, canalperson, lockkeeper, beefeater","boatperson, canalperson, lockkeeper, beefeater",,
"Apprentices, other specified trades","trader, apprentice","trader, apprentice",,
"Farm laborers, unpaid family workers","laborer, farmer","laborer, farmer",,
"Attendants, auto service and parking",,,,
"Attendants, recreation and amusement",,,,
Machinists and toolmakers apprentice,"machinist, toolmaker, apprentice","machinist, toolmaker, apprentice",,
Plumbers and pipe fitters apprentice,"plumber, apprentice","plumber, apprentice, pipe_fitter",,
Chemistry-Professors and instructors,"chemist, professor","chemistry_professor, instructor",,
Economics-Professors and instructors,"economist, professor","economics_professor, instructor",,
Piano and organ tuners and repairmen,"tuner, repairer, technian","piano_tuner, repairer",,
"Farm service laborers, self-employed","laborer, farmer","laborer, farmer",,
Clerical and kindred workers (n.e.c.),clerk,clerical_worker,,
"Barbers, beauticians, and manicurists","barber, beautician, manicurist","barber, beautician, manicurist",,
Personnel and labor relations workers,"hr, liason, coordinator","hr, liason, coordinator",,
"Pressmen and plate printers, printing",pressperson,pressperson,,
"Lumbermen, raftsmen, and woodchoppers","lumberjack, cutter, logger, woodchopper","lumberjack, cutter, logger, woodchopper",,
Psychology-Professors and instructors,"psychologist, professor","psychology_professor, instructor",,
Statistics-Professors and instructors,"professor, statistician","professor, statistician, statistics_professor",,
"Painters, construction and maintenance","painter, maintainer","painter, maintainer",,
"Filers, grinders, and polishers, metal","filer, grinder, polisher","filer, grinder, polisher",,
"Managers and superintendants, building","superintendant, manager",building_manager,,
Office machine-mechanics and repairmen,"mechanics, mechanician, repairer",,,
"Officials, lodge, society, union, etc.","official, officer",union_official,,
"Pattern and model makers, except paper",,,,
Watchmen (crossing) and bridge tenders,,,,
Mathematics-Professors and instructors,"professor, mathematician","mathematics_professor, instructor",,
"Metallurgical, metallurgists-Engineers","engineer, metallurgist, metallurgist","metallurgical_engineer, instructor",,
"Chainmen, rodmen, and axmen, surveying","leveler, measurer, surveyor","leveler, measurer, surveyor",,
Engineering-Professors and instructors,"professor, engineer","engineering_professor, instructor",,
"Apprentices, metalworking trades (nec)","trader, metalworker, apprentice","trader, metalworker, apprentice",,
"Stenographers, typists, and secretaries","secretary, stenographer, typist","secretary, stenographer, typist",,
"Tool makers, and die makers and setters","setter, toolmaker","setter, toolmaker",,
Helping at home/helps parents/housework,"housekeeper, houseworker","housekeeper, houseworker",,
"Social and welfare workers, except group","caseworker, almoner, welfare","social_worker, welfare_worker",,
"Shoemakers and repairers, except factory","shoemaker, repairer","shoemaker, repairer",,
"Gardeners, except farm and groundskeepers",gardener,gardener,,
"Brickmasons, stonemasons, and tile setters","brickmason, stonemason","brickmason, stonemason",,
Opticians and lens grinders and polishers,opticians,opticians,,
"Managers, officials, and proprietors (nec)","manager, official, proprietor","manager, official, proprietor",,
Keeps house/housekeeping at home/housewife,housekeeper,,,
"Attendants, hospital and other institution","attendant, nurse","attendant, nurse",,
"Attendants, physicians and dentists office","attendant, nurse","attendant, nurse",,
Express messengers and railway mail clerks,"messenger, mailer, clerk, courier","messenger, mailer, clerk, courier",,
"Motormen, mine, factory, logging camp, etc","autoist, automobilist, manipulator, operator","autoist, automobilist, manipulator, operator",,
Invalid/disabled w/ no occupation reported,,,,
Medical Sciences-Professors and instructors,"professor, immunologist, physician","professor, immunologist, physician",,
"Dressmakers and seamstresses, except factory","dressmaker, seamstress","dressmaker, seamstress",,
Radio and television-mechanics and repairmen,"mechanic, mechnician, repairer","mechanic, mechnician, repairer",,
"Painters, except construction or maintenance",painter,painter,,
Garage laborers and car washers and greasers,"laborer, washer, greaser","laborer, washer, greaser",,
Railroad and car shop-mechanics and repairmen,"mechanician, repairer, railroader","mechanician, repairer, railroader",,
"Officers, pilots, pursers and engineers, ship","officer, pilot, purser, engineer","officer, pilot, purser, engineer",,
"Motormen, street, subway, and elevated railway","motorist, autoist, automobilist, operator","motorist, autoist, automobilist, operator",,
Biological sciences-Professors and instructors,"professor, biologist","biology_professor, instructor",,
"Service workers, except private household (nec)",,,,
"Inspectors, scalers, and graders, log and lumber","inspector, scaler, grader","inspector, scaler, grader",,
Subject not specified-Professors and instructors,professor,"professor, instructor",,
"Meat cutters, except slaughter and packing house","cutter, butcher",meat_cutter,,
"Tinsmiths, coppersmiths, and sheet metal workers","tinsmith, coppersmith","tinsmith, coppersmith",,
Social sciences (nec)-Professors and instructors,"professor, sociologist","professor, sociologist, instructor",,
Agricultural sciences-Professors and instructors,"professor, agriculturalist, agrologist, scientist","professor, agriculturalist, agrologist, scientist",,
Natural science (nec)-Professors and instructors,"professor, scientist","professor, scientist",,
"Professional, technical and kindred workers (nec)","technician, professional, clerk","technician, professional, clerk",,
"Excavating, grading, and road machinery operators","operator, excavator, machinist","operator, excavator, machinist",,
Geology and geophysics-Professors and instructors,"professor, geologist, geophysicist","geology_professor, instructor",,
Non-scientific subjects-Professors and instructors,"professor, instructor, teacher","professor, instructor, teacher",,
"Attendants, professional and personal service (nec)",attendant,attendant,,
"Housekeepers and stewards, except private household","steward, housekeeper","steward, housekeeper",steward,stewardess
"Jewelers, watchmakers, goldsmiths, and silversmiths","jeweler, watchmaker, goldsmith, silversmith","jeweler, watchmaker, goldsmith, silversmith",,
"Linemen and servicemen, telegraph, telephone, and power","telegrapher, lineperson","telegrapher, lineperson",,
"Officials and administratators (nec), public administration","administrator, official","administrator, official",,
"Fruit, nut, and vegetable graders, and packers, except facto","packer, grader","packer, grader",,
